||Sütunlar|
Satırlar||İbbs-Düzey1, İbbs-Düzey2,  İl Ve İlçe Nüfusları|
||Ölçüm bazında|
|||
|||
2007|Akdeniz-TR6|8906427.0|
|Batı Anadolu-TR5|6651887.0|
|Batı Karadeniz-TR8|4477457.0|
|Batı Marmara-TR2|3052555.0|
|Doğu Karadeniz-TR9|2488652.0|
|Doğu Marmara-TR4|6417153.0|
|Ege-TR3|9299322.0|
|Güneydoğu Anadolu-TRC|7170849.0|
|İstanbul-TR1|1.2573836E7|
|Kuzeydoğu Anadolu-TRA|2212759.0|
|Orta Anadolu-TR7|3776927.0|
|Ortadoğu Anadolu-TRB|3558432.0|
2008|Akdeniz-TR6|9050691.0|
|Batı Anadolu-TR5|6748952.0|
|Batı Karadeniz-TR8|4478029.0|
|Batı Marmara-TR2|3107425.0|
|Doğu Karadeniz-TR9|2507387.0|
|Doğu Marmara-TR4|6579426.0|
|Ege-TR3|9384848.0|
|Güneydoğu Anadolu-TRC|7350752.0|
|İstanbul-TR1|1.2697164E7|
|Kuzeydoğu Anadolu-TRA|2201862.0|
|Orta Anadolu-TR7|3792508.0|
|Ortadoğu Anadolu-TRB|3618056.0|
2009|Akdeniz-TR6|9252902.0|
|Batı Anadolu-TR5|6875349.0|
|Batı Karadeniz-TR8|4512288.0|
|Batı Marmara-TR2|3129772.0|
|Doğu Karadeniz-TR9|2526619.0|
|Doğu Marmara-TR4|6701343.0|
|Ege-TR3|9517153.0|
|Güneydoğu Anadolu-TRC|7462893.0|
|İstanbul-TR1|1.2915158E7|
|Kuzeydoğu Anadolu-TRA|2198061.0|
|Orta Anadolu-TR7|3831373.0|
|Ortadoğu Anadolu-TRB|3638401.0|
2010|Akdeniz-TR6|9423231.0|
|Batı Anadolu-TR5|7018194.0|
|Batı Karadeniz-TR8|4518786.0|
|Batı Marmara-TR2|3164048.0|
|Doğu Karadeniz-TR9|2516167.0|
|Doğu Marmara-TR4|6841607.0|
|Ege-TR3|9693594.0|
|Güneydoğu Anadolu-TRC|7592772.0|
|İstanbul-TR1|1.3255685E7|
|Kuzeydoğu Anadolu-TRA|2202106.0|
|Orta Anadolu-TR7|3849267.0|
|Ortadoğu Anadolu-TRB|3647531.0|
2011|Akdeniz-TR6|9495788.0|
|Batı Anadolu-TR5|7163453.0|
|Batı Karadeniz-TR8|4477107.0|
|Batı Marmara-TR2|3210147.0|
|Doğu Karadeniz-TR9|2513021.0|
|Doğu Marmara-TR4|6952685.0|
|Ege-TR3|9687692.0|
|Güneydoğu Anadolu-TRC|7816173.0|
|İstanbul-TR1|1.362424E7|
|Kuzeydoğu Anadolu-TRA|2230394.0|
|Orta Anadolu-TR7|3843731.0|
|Ortadoğu Anadolu-TRB|3709838.0|
2012|Akdeniz-TR6|9611007.0|
|Batı Anadolu-TR5|7253247.0|
|Batı Karadeniz-TR8|4483603.0|
|Batı Marmara-TR2|3247669.0|
